Facility Name,Area / Location,Sports Offered,Indoor / Outdoor,Swimming Pool,Gym,Exact Opening Hours,Typical Hourly Rate (PKR)
Pulse Swimming Pool,Garden West,Swimming Pool,Mixed,Yes,No,6:00 AM – 10:00 PM,500 - 2000 
Solid Cricket Arena,Malir Cantt,Cricket Academy,Outdoor,No,No,24 Hours,2000 - 5000 
Ultimate Football,Johar Block 4,Football,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 7000 
Fusion Gym Center,DHA Phase 4,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,3000 - 15000 
Prime Gym Station,Tariq Road,Gym,Indoor,No,Yes,8:00 AM – 8:00 PM,3000 - 15000 
Flash Futsal Complex,Mehmoodabad,Futsal,Outdoor,No,No,6:00 AM – 10:00 PM,3500 - 6000 
Direct Tennis Courts,Clifton Block 4,Tennis,Outdoor,No,No,24 Hours,1500 - 4000
Pulse Padel Point,North Nazimabad B,Padel,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 8000 
Iron Gym Station,PECHS Block 2,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000 
Prime Cricket Station,North Nazimabad H,Cricket Academy,Outdoor,No,No,7:00 AM – 11:00 PM,2000 - 5000 
Royal Swimming Pool,North Nazimabad B,Swimming Pool,Mixed,Yes,No,24 Hours,500 - 2000 
Apex Tennis Arena,Naval Colony,Tennis,Outdoor,No,No,6:00 AM – 10:00 PM,1500 - 4000 
Ultimate Padel Hub,DHA Phase 2,Padel,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 8000 
Direct Futsal Courts,FB Area Block 6,Futsal,Outdoor,No,No,8:00 AM – 8:00 PM,3500 - 6000
Apex Cricket Pavilion,Naval Colony,Cricket Academy,Outdoor,No,No,6:00 AM – 10:00 PM,2000 - 5000
Quantum Basketball,DHA Phase 7,Basketball,Outdoor,No,No,4:00 PM – 1:00 AM,1000 - 3000
Elite Padel Hub,North Karachi 11,Padel,Outdoor,No,No,24 Hours,4000 - 8000 
Active Football Arena,Saddar,Football,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 7000 
Flash Football Station,Gulshan Block 13,Football,Outdoor,No,No,8:00 AM – 8:00 PM,4000 - 7000 
Royal Basketball Hub,Clifton Block 9,Basketball,Outdoor,No,No,6:00 AM – 10:00 PM,1000 - 3000
Solid Tennis Pavilion,Mehmoodabad,Tennis,Outdoor,No,No,24 Hours,1500 - 4000 
Flash Swimming Pool,Baldia Town,Swimming Pool,Mixed,Yes,No,24 Hours,500 - 2000 
Active Swimming Point,North Karachi 11,Swimming Pool,Mixed,Yes,No,7:00 AM – 11:00 PM,500 - 2000 
Mighty Badminton Spot,FB Area Block 15,Badminton,Indoor,No,No,8:00 AM – 8:00 PM,500 - 1500 
Direct Gym Hub,Malir Cantt,Gym,Indoor,No,Yes,8:00 AM – 8:00 PM,3000 - 15000
Elite Football Station,North Karachi 11,Football,Outdoor,No,No,24 Hours,4000 - 7000 
Titan Futsal Complex,Orangi Town,Futsal,Outdoor,No,No,6:00 AM – 10:00 PM,3500 - 6000 
Solid Badminton Center,DHA Phase 5,Badminton,Indoor,No,No,7:00 AM – 11:00 PM,500 - 1500 
Ultimate Table Tennis,PECHS Block 6,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,300 - 800 
Grand Basketball Spot,Clifton Block 2,Basketball,Outdoor,No,No,7:00 AM – 11:00 PM,1000 - 3000 
Pro Swimming Zone,DHA Phase 4,Swimming Pool,Mixed,Yes,No,6:00 AM – 10:00 PM,500 - 2000 
Quantum Tennis Club,Naval Colony,Tennis,Outdoor,No,No,8:00 AM – 8:00 PM,1500 - 4000 
Pro Futsal Station,Steel Town,Futsal,Outdoor,No,No,24 Hours,3500 - 6000 
Iron Football Courts,Surjani Town,Football,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 7000 
Apex Padel Point,Gulshan Block 7,Padel,Outdoor,No,No,24 Hours,4000 - 8000 
Solid Basketball Hub,Defence View,Basketball,Outdoor,No,No,7:00 AM – 11:00 PM,1000 - 3000
Zenith Badminton Arena,Clifton Block 2,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,500 - 1500 
Pro Cricket Hub,DHA Phase 7,Cricket Academy,Outdoor,No,No,4:00 PM – 1:00 AM,2000 - 5000
Ultimate Swimming Hub,Liaquatabad,Swimming Pool,Mixed,Yes,No,4:00 PM – 1:00 AM,500 - 2000 
Direct Padel Complex,North Nazimabad L,Padel,Outdoor,No,No,24 Hours,4000 - 8000
Pro Football Station,Clifton Block 2,Football,Outdoor,No,No,24 Hours,4000 - 7000
Smart Tennis Courts,Federal B Area Block 6,Tennis,Outdoor,No,No,24 Hours,1500 - 4000 
Grand Gym Pavilion,Johar Block 12,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,3000 - 15000
Ultimate Table Tennis,Clifton Block 5,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,300 - 800 
Flash Football Club,Steel Town,Football,Outdoor,No,No,8:00 AM – 8:00 PM,4000 - 7000
Elite Badminton Dome,North Karachi 11,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,500 - 1500 
Titan Football Hub,Naval Colony,Football,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 7000
Ace Swimming Hub,Surjani Town,Swimming Pool,Mixed,Yes,No,8:00 AM – 8:00 PM,500 - 2000 
Smart Gym Hub,Garden East,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,3000 - 15000
Flash Cricket Arena,PECHS Block 3,Cricket Academy,Outdoor,No,No,4:00 PM – 1:00 AM,2000 - 5000 
Direct Gym Spot,Clifton Block 1,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000 
Flash Cricket Point,Saddar,Cricket Academy,Outdoor,No,No,24 Hours,2000 - 5000 
Pro Basketball Arena,Gulshan Block 15,Basketball,Outdoor,No,No,8:00 AM – 8:00 PM,1000 - 3000
Iron Tennis Pavilion,Gulistan-e-Johar Block 1,Tennis,Outdoor,No,No,24 Hours,1500 - 4000
Prime Tennis Pavilion,Mehmoodabad,Tennis,Outdoor,No,No,7:00 AM – 11:00 PM,1500 - 4000 
Active Football Station,Clifton Block 5,Football,Outdoor,No,No,24 Hours,4000 - 7000
Core Gym Station,Clifton Block 1,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000 
Vibe Futsal Arena,North Nazimabad Block H,Futsal,Outdoor,No,No,7:00 AM – 11:00 PM,3500 - 6000
Gold Badminton Dome,Tariq Road,Badminton,Indoor,No,No,7:00 AM – 11:00 PM,500 - 1500 
Active Basketball Hub,Federal B Area Block 15,Basketball,Outdoor,No,No,24 Hours,1000 - 3000 
Orbit Gym Pavilion,North Nazimabad Block H,Gym,Indoor,No,Yes,24 Hours,3000 - 15000 
Peak Football Spot,FB Area Block 6,Football,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 7000 
Grand Cricket Station,Clifton Block 2,Cricket Academy,Outdoor,No,No,8:00 AM – 8:00 PM,2000 - 5000 
Swift Badminton Club,North Nazimabad Block F,Badminton,Indoor,No,No,24 Hours,500 - 1500
Elite Gym Pavilion,Gulshan-e-Iqbal Block 10,Gym,Indoor,No,Yes,24 Hours,3000 - 15000 
Flash Padel Hub,Steel Town,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 8000
Flash Badminton Point,Gulistan-e-Johar Block 15,Badminton,Indoor,No,No,8:00 AM – 8:00 PM,500 - 1500
Pro Swimming Hub,North Nazimabad Block L,Swimming Pool,Mixed,Yes,No,7:00 AM – 11:00 PM,500 - 2000 
Gold Cricket Academy,Malir Cantt,Cricket Academy,Outdoor,No,No,4:00 PM – 1:00 AM,2000 - 5000 
Solid Tennis Hub,Surjani Town,Tennis,Outdoor,No,No,24 Hours,1500 - 4000 
Mighty Badminton Station,North Nazimabad Block B,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,500 - 1500 
Vibe Badminton Hub,North Karachi Sector 11,Badminton,Indoor,No,No,4:00 PM – 1:00 AM,500 - 1500 
Direct Gym Arena,DHA Phase 4,Gym,Indoor,No,Yes,8:00 AM – 8:00 PM,3000 - 15000
Mega Swimming Pool,Defence View,Swimming Pool,Mixed,Yes,No,7:00 AM – 11:00 PM,500 - 2000 
Swift Football Spot,Clifton Block 2,Football,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 7000 
Core Swimming Point,Malir Cantt,Swimming Pool,Mixed,Yes,No,6:00 AM – 10:00 PM,500 - 2000 
Master Gym Arena,DHA Phase 2,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000 
Apex Tennis Pavilion,Clifton Block 9,Tennis,Outdoor,No,No,24 Hours,1500 - 4000 
Ultimate Football Hub,Naval Colony,Football,Outdoor,No,No,24 Hours,4000 - 7000 
Global Football Zone,Gulshan-e-Iqbal Block 1,Football,Outdoor,No,No,24 Hours,4000 - 7000 
Power Tennis Spot,PECHS Block 2,Tennis,Outdoor,No,No,24 Hours,1500 - 4000 
Elite Basketball Hub,Federal B Area Block 15,Basketball,Outdoor,No,No,8:00 AM – 8:00 PM,1000 - 3000 
Swift Gym Hub,Garden West,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,3000 - 15000 
Solid Gym pavilion,North Nazimabad Block L,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000
Zenith Basketball Hub,Clifton Block 5,Basketball,Outdoor,No,No,7:00 AM – 11:00 PM,1000 - 3000 
Gold Swimming Pool Hub,FB Area Block 15,Swimming Pool,Mixed,Yes,No,4:00 PM – 1:00 AM,500 - 2000 
Swift Football Station,Clifton Block 4,Football,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 7000 
Prime Swimming Pavilion,Steel Town,Swimming Pool,Mixed,Yes,No,6:00 AM – 10:00 PM,500 - 2000 
Rapid Table Tennis,DHA Phase 5,Table Tennis,Indoor,No,No,24 Hours,300 - 800 
Titan Cricket Complex,Orangi Town,Cricket Academy,Outdoor,No,No,7:00 AM – 11:00 PM,2000 - 5000
Pro Swimming Hub,North Nazimabad Block H,Swimming Pool,Mixed,Yes,No,4:00 PM – 1:00 AM,500 - 2000 
Direct Basketball Point,Clifton Block 2,Basketball,Outdoor,No,No,7:00 AM – 11:00 PM,1000 - 3000 
Ace Swimming Hub,Orangi Town,Swimming Pool,Mixed,Yes,No,24 Hours,500 - 2000 
Pro Gym Spot,PECHS Block 3,Gym,Indoor,No,Yes,24 Hours,3000 - 15000 
Mighty Tennis Hub,Surjani Town,Tennis,Outdoor,No,No,8:00 AM – 8:00 PM,1500 - 4000
Pro Basketball Center,Naval Colony,Basketball,Outdoor,No,No,8:00 AM – 8:00 PM,1000 - 3000
Titan Cricket Arena,Clifton Block 3,Cricket Academy,Outdoor,No,No,7:00 AM – 11:00 PM,2000 - 5000
Grand Basketball Arena,Clifton Block 2,Basketball,Outdoor,No,No,24 Hours,1000 - 3000 
Titan Tennis Pavilion,Saddar,Tennis,Outdoor,No,No,7:00 AM – 11:00 PM,1500 - 4000 
Flash Football Station,DHA Phase 8,Football,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 7000
Active Futsal Club,PECHS Block 3,Futsal,Outdoor,No,No,7:00 AM – 11:00 PM,3500 - 6000 
Direct Padel Arena,Gulistan-e-Johar Block 1,Padel,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 8000
Sonic Padel Hub,Naval Colony,Padel,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 8000
Active Gym Station,Naval Colony,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,3000 - 15000 
Fusion Gym Center,Clifton Block 3,Gym,Indoor,No,Yes,8:00 AM – 8:00 PM,3000 - 15000 
Direct Gym Hub,Clifton Block 2,Gym,Indoor,No,Yes,24 Hours,3000 - 15000 
Delta Padel Complex,DHA Phase 6,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 8000
Mighty Gym Arena,DHA Phase 6,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,3000 - 15000 
Master Tennis Complex,Malir Cantt,Tennis,Outdoor,No,No,7:00 AM – 11:00 PM,1500 - 4000 
Direct Basketball Point,Tariq Road,Basketball,Outdoor,No,No,4:00 PM – 1:00 AM,1000 - 3000
Quantum Table Tennis Hub,Gulistan-e-Johar Block 1,Table Tennis,Indoor,No,No,8:00 AM – 8:00 PM,300 - 800 
Omega Gym Center,DHA Phase 2,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000 
Orbit Gym Point,Clifton Block 1,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,3000 - 15000
Active Football Center,Gulshan-e-Iqbal Block 1,Football,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 7000 
Delta Table Tennis Hub,North Nazimabad Block H,Table Tennis,Indoor,No,No,4:00 PM – 1:00 AM,300 - 800 
Elite Basketball Point,DHA Phase 8,Basketball,Outdoor,No,No,7:00 AM – 11:00 PM,1000 - 3000 
Vector Basketball Dome,Clifton Block 2,Basketball,Outdoor,No,No,24 Hours,1000 - 3000
Core Gym Pavilion,North Karachi Sector 11,Gym,Indoor,No,Yes,24 Hours,3000 - 15000
Omega Futsal Complex,Orangi Town,Futsal,Outdoor,No,No,6:00 AM – 10:00 PM,3500 - 6000 
Solar Swimming Pool Hub,Bahadurabad,Swimming Pool,Indoor/Outdoor,Yes,No,8:00 AM – 8:00 PM,500 - 2000 
Sigma Basketball Station,FB Area Block 15,Basketball,Outdoor,No,No,4:00 PM – 1:00 AM,1000 - 3000 
Orbit Padel Pavilion,Clifton Block 4,Padel,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 8000 
Core Tennis Center,Gulistan-e-Johar Block 4,Tennis,Outdoor,No,No,4:00 PM – 1:00 AM,1500 - 4000 
Pulse Tennis Courts,Clifton Block 9,Tennis,Outdoor,No,No,7:00 AM – 11:00 PM,1500 - 4000 
Pro Swimming Pavilion,North Nazimabad Block M,Swimming Pool,Mixed,Yes,No,24 Hours,500 - 2000 
Fusion Cricket Arena,PECHS Block 2,Cricket Academy,Outdoor,No,No,24 Hours,2000 - 5000
Master Cricket Station,North Karachi Sector 11,Cricket Academy,Outdoor,No,No,4:00 PM – 1:00 AM,2000 - 5000
Sigma Gym Club,Tariq Road,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,3000 - 15000 
Vector Gym Hub,PECHS Block 3,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000 
Alpha Football Arena,Steel Town,Football,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 7000
Sonic Gym Center,DHA Phase 2,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000
Vector Gym Center,Clifton Block 3,Gym,Indoor,No,Yes,24 Hours,3000 - 15000
Alpha Swimming Hub,Surjani Town,Swimming Pool,Mixed,Yes,No,6:00 AM – 10:00 PM,500 - 2000
Delta Cricket Academy,Clifton Block 3,Cricket Academy,Outdoor,No,No,24 Hours,2000 - 5000 
Sigma Badminton Hub,North Karachi Sector 11,Badminton,Indoor,No,No,7:00 AM – 11:00 PM,500 - 1500 
Ultra Gym Point,Defence View,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,3000 - 15000 
Orbit Tennis Station,Garden West,Tennis,Outdoor,No,No,4:00 PM – 1:00 AM,1500 - 4000
Quantum Football Arena,DHA Phase 4,Football,Outdoor,No,No,24 Hours,4000 - 7000 
Delta Tennis Complex,Saddar,Tennis,Outdoor,No,No,6:00 AM – 10:00 PM,1500 - 4000 
Solar Basketball Station,Model Colony,Basketball,Outdoor,No,No,8:00 AM – 8:00 PM,1000 - 3000
Vibe Futsal Point,Garden West,Futsal,Outdoor,No,No,4:00 PM – 1:00 AM,3500 - 6000
Elite Basketball Hub,Clifton Block 9,Basketball,Outdoor,No,No,7:00 AM – 11:00 PM,1000 - 3000
Star Cricket Arena,Naval Colony,Cricket Academy,Outdoor,No,No,24 Hours,2000 - 5000
Apex Tennis Club,North Nazimabad L,Tennis,Outdoor,No,No,6:00 AM – 10:00 PM,1500 - 4000
Solid Swimming Hub,Surjani Town,Swimming Pool,Mixed,Yes,No,7:00 AM – 11:00 PM,500 - 2000
Swift Gym Point,Bahadurabad,Gym,Indoor,No,Yes,8:00 AM – 8:00 PM,3000 - 15000
Core Gym Station,PECHS Block 2,Gym,Indoor,No,Yes,24 Hours,3000 - 15000
Pulse Tennis Courts,Clifton Block 5,Tennis,Outdoor,No,No,6:00 AM – 10:00 PM,1500 - 4000
Mighty Padel Arena,DHA Phase 4,Padel,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 8000
Orbit Gym Hub,Malir Cantt,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,3000 - 15000
Quantum TT Zone,Orangi Town,Table Tennis,Indoor,No,No,8:00 AM – 8:00 PM,300 - 800
Flash Football Dome,Steel Town,Football,Outdoor,No,No,24 Hours,4000 - 7000
Direct Basketball,Saddar,Basketball,Outdoor,No,No,6:00 AM – 10:00 PM,1000 - 3000
Alpha Tennis Point,DHA Phase 6,Tennis,Outdoor,No,No,7:00 AM – 11:00 PM,1500 - 4000
Sigma Padel Station,Clifton Block 2,Padel,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 8000
Mega Futsal Pavilion,Johar Block 15,Futsal,Outdoor,No,No,24 Hours,3500 - 6000
Titan Cricket Hub,Malir Cantt,Cricket Academy,Outdoor,No,No,6:00 AM – 10:00 PM,2000 - 5000
Core TT Pavilion,Defence View,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,300 - 800
Vibe Basketball,KDA Scheme 1,Basketball,Outdoor,No,No,8:00 AM – 8:00 PM,1000 - 3000
Rapid Tennis Arena,Naval Colony,Tennis,Outdoor,No,No,24 Hours,1500 - 4000
Direct Gym Spot,Clifton Block 1,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,3000 - 15000
Elite TT Station,PNS Karsaz,Table Tennis,Indoor,No,No,4:00 PM – 1:00 AM,300 - 800
Master Padel Hub,DHA Phase 8,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 8000
Swift Swim Point,Johar Block 4,Swimming Pool,Mixed,Yes,No,6:00 AM – 10:00 PM,500 - 2000
Smart Futsal Dome,North Karachi 11,Futsal,Outdoor,No,No,24 Hours,3500 - 6000
Ace Cricket Zone,DHA Phase 5,Cricket Academy,Outdoor,No,No,8:00 AM – 8:00 PM,2000 - 5000
Direct Padel Station,North Nazimabad B,Padel,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 8000
Orbit TT Club,Liaquatabad,Table Tennis,Indoor,No,No,24 Hours,300 - 800
Pro Football Arena,PECHS Block 3,Football,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 7000
Zenith Basketball,North Karachi 11,Basketball,Outdoor,No,No,8:00 AM – 11:00 PM,1000 - 3000
Power Tennis Hub,Tariq Road,Tennis,Outdoor,No,No,4:00 PM – 1:00 AM,1500 - 4000
Titan Futsal Hub,Clifton Block 4,Futsal,Outdoor,No,No,6:00 AM – 10:00 PM,3500 - 6000
Sigma Basketball,DHA Phase 1,Basketball,Outdoor,No,No,24 Hours,1000 - 3000
Master Gym Arena,Gulshan Block 7,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,3000 - 15000
Star Swim Complex,Defence View,Swimming Pool,Mixed,Yes,No,4:00 PM – 1:00 AM,500 - 2000
Rapid Padel Center,FB Area Block 6,Padel,Outdoor,No,No,24 Hours,4000 - 8000
Titan Football Station,Surjani Town,Football,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 7000
Sonic Gym Pavilion,Garden West,Gym,Indoor,No,Yes,8:00 AM – 11:00 PM,3000 - 15000
Swift Futsal Pavilion,North Nazimabad F,Futsal,Outdoor,No,No,4:00 PM – 1:00 AM,3500 - 6000
Lunar Tennis Point,Johar Block 12,Tennis,Outdoor,No,No,7:00 AM – 11:00 PM,1500 - 4000
Mighty Swim Station,Saddar,Swimming Pool,Mixed,Yes,No,24 Hours,500 - 2000
Orbit Badminton Zone,DHA Phase 2,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,500 - 1500
Solid Gym point,FB Area Block 15,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,3000 - 15000
Gold Cricket Pavilion,Clifton Block 1,Cricket Academy,Outdoor,No,No,8:00 AM – 8:00 PM,2000 - 5000
Core Football Club,Malir Cantt,Football,Outdoor,No,No,24 Hours,4000 - 7000
Direct Tennis Hub,Tariq Road,Tennis,Outdoor,No,No,6:00 AM – 10:00 PM,1500 - 4000
Flash Gym Point,Gulshan Block 10,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000
Iron Basketball,Surjani Town,Basketball,Outdoor,No,No,6:00 AM – 10:00 PM,1000 - 3000
Solid TT Zone,Orangi Town,Table Tennis,Indoor,No,No,8:00 AM – 11:00 PM,300 - 800
Grand Cricket Station,Sindhi Muslim,Cricket Academy,Outdoor,No,No,24 Hours,2000 - 5000
Quantum Futsal Club,DHA Phase 4,Futsal,Outdoor,No,No,7:00 AM – 11:00 PM,3500 - 6000
Peak Gym Station,Steel Town,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000
Direct Padel Dome,Clifton Block 9,Padel,Outdoor,No,No,24 Hours,4000 - 8000
Vibe TT Pavilion,Malir Cantt,Table Tennis,Indoor,No,No,6:00 AM – 10:00 PM,300 - 800
Ultra Basketball Hub,Clifton Block 1,Basketball,Outdoor,No,No,7:00 AM – 11:00 PM,1000 - 3000
Rapid Swim Center,North Karachi 11,Swimming Pool,Mixed,Yes,No,24 Hours,500 - 2000
Sonic Cricket Dome,PNS Karsaz,Cricket Academy,Outdoor,No,No,8:00 AM – 8:00 PM,2000 - 5000
Apex Football Club,Garden East,Football,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 7000
Omega Gym Hub,PECHS Block 6,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000
Solid Swim Pavilion,North Nazimabad B,Swimming Pool,Mixed,Yes,No,7:00 AM – 11:00 PM,500 - 2000
Core TT Station,KDA Scheme 1,Table Tennis,Indoor,No,No,24 Hours,300 - 800
Delta Badminton Spot,Gulshan Block 13,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,500 - 1500
Flash Futsal Point,Johar Block 15,Futsal,Outdoor,No,No,8:00 AM – 11:00 PM,3500 - 6000
Ultimate Cricket Hub,Naval Colony,Cricket Academy,Outdoor,No,No,4:00 PM – 1:00 AM,2000 - 5000
Global Padel Hub,Defence View,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 8000
Mighty Gym Pavilion,DHA Phase 8,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,3000 - 15000
Elite Tennis Point,Saddar,Tennis,Outdoor,No,No,24 Hours,1500 - 4000
Alpha Swim Dome,Clifton Block 3,Swimming Pool,Mixed,Yes,No,4:00 PM – 1:00 AM,500 - 2000
Solid Padel Station,Johar Block 1,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 8000
Fusion Gym Center,DHA Phase 1,Gym,Indoor,No,Yes,8:00 AM – 8:00 PM,3000 - 15000
Quantum Football Station,North Nazimabad L,Football,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 7000
Titan Swim Center,Garden West,Swimming Pool,Mixed,Yes,No,24 Hours,500 - 2000
Mighty Futsal Arena,North Nazimabad H,Futsal,Outdoor,No,No,7:00 AM – 11:00 PM,3500 - 6000
Grand Basketball Club,Clifton Block 2,Basketball,Outdoor,No,No,4:00 PM – 1:00 AM,1000 - 3000
Master Padel Point,DHA Phase 2,Padel,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 8000
Direct Swim Hub,North Karachi 11,Swimming Pool,Mixed,Yes,No,8:00 AM – 8:00 PM,500 - 2000
Elite Gym Pavilion,Gulshan Block 1,Gym,Indoor,No,Yes,24 Hours,3000 - 15000
Swift Basketball Point,PECHS Block 3,Basketball,Outdoor,No,No,7:00 AM – 11:00 PM,1000 - 3000
Direct Cricket Point,Naval Colony,Cricket Academy,Outdoor,No,No,6:00 AM – 10:00 PM,2000 - 5000
Delta TT Complex,Saddar,Table Tennis,Indoor,No,No,4:00 PM – 1:00 AM,300 - 800
Smart Gym Dome,Surjani Town,Gym,Indoor,No,Yes,8:00 AM – 11:00 PM,3000 - 15000
Core Padel Point,Liaquatabad,Padel,Outdoor,No,No,24 Hours,4000 - 8000
Rapid Futsal Complex,Malir Cantt,Futsal,Outdoor,No,No,6:00 AM – 10:00 PM,3500 - 6000
Iron Football Spot,Clifton Block 4,Football,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 7000
Ace Basketball Center,DHA Phase 7,Basketball,Outdoor,No,No,8:00 AM – 8:00 PM,1000 - 3000
Pulse Tennis Spot,DHA Phase 1,Tennis,Outdoor,No,No,24 Hours,1500 - 4000
Swift Gym Hub,Gulshan Block 13,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,3000 - 15000
Power Padel Club,Naval Colony,Padel,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 8000
Facility Name,Area / Location,Sports Offered,Indoor / Outdoor,Pool,Gym,Opening Hours,Rate (PKR)
Swift Gym,PNS Karsaz,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,3000-15000
Zenith Badminton,North Nazimabad L,Badminton,Indoor,No,No,4:00 PM – 1:00 AM,500-1500 
Ace Football Turf,Johar Block 1,Football,Outdoor,No,No,6:00 AM – 10:00 PM,4000-7000 
City Cricket Hub,North Nazimabad H,Cricket Academy,Outdoor,No,No,6:00 AM – 10:00 PM,2000-5000 
Grand Badminton,Gulshan Block 15,Badminton,Indoor,No,No,24 Hours,500-1500 
Royal Basketball,PECHS Block 6,Basketball,Outdoor,No,No,4:00 PM – 1:00 AM,1000-3000
Titan Badminton,Clifton Block 5,Badminton,Indoor,No,No,4:00 PM – 1:00 AM,500-1500 
Zenith Badminton,Naval Colony,Badminton,Indoor,No,No,24 Hours,500-1500 
Xtreme Futsal,Defence View,Futsal,Outdoor,No,No,6:00 AM – 10:00 PM,3500-6000
Ultimate Basketball,FB Area Block 6,Basketball,Outdoor,No,No,8:00 AM – 8:00 PM,1000-3000
Smart Futsal Arena,North Nazimabad F,Futsal,Outdoor,No,No,24 Hours,3500-6000 
Xtreme TT Spot,FB Area Block 6,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,300-800 
Royal Table Tennis,North Nazimabad B,Table Tennis,Indoor,No,No,6:00 AM – 10:00 PM,300-800 
Xtreme Badminton,FB Area Block 15,Badminton,Indoor,No,No,24 Hours,500-1500 
Dynamic Gym,DHA Phase 6,Gym,Indoor,No,Yes,24 Hours,3000-15000 
Ultimate Football,Naval Colony,Football,Outdoor,No,No,6:00 AM – 10:00 PM,4000-7000 
Royal Padel Court,FB Area Block 6,Padel,Outdoor,No,No,6:00 AM – 10:00 PM,4000-8000 
Peak Padel Court,DHA Phase 6,Padel,Outdoor,No,No,24 Hours,4000-8000
Iron Badminton,PECHS Block 3,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,500-1500 
Royal Tennis,Clifton Block 3,Tennis,Outdoor,No,No,24 Hours,1500-4000 
Elite Badminton,Malir Cantt,Badminton,Indoor,No,No,8:00 AM – 8:00 PM,500-1500
City Padel Court,Johar Block 15,Padel,Outdoor,No,No,4:00 PM – 1:00 AM,4000-8000 
Ace Badminton,Landhi,Badminton,Indoor,No,No,7:00 AM – 11:00 PM,500-1500 
Ultimate Futsal,DHA Phase 2,Futsal,Outdoor,No,No,4:00 PM – 1:00 AM,3500-6000 
Star Football Turf,PECHS Block 3,Football,Outdoor,No,No,6:00 AM – 10:00 PM,4000-7000 
